artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Sydney Youngblood,Logged In,Jacob,M,53,Klein,238.07955,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,Ain't No Sunshine,200,1.54345E+12,73
Gang Starr,Logged In,Layla,F,88,Griffin,151.92771,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My Advice 2 You (Explicit),200,1.54345E+12,24
3OH!3,Logged In,Layla,F,89,Griffin,192.522,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My First Kiss (Feat. Ke$ha) [Album Version],200,1.54345E+12,24
RÃÂ¶yksopp,Logged In,Jacob,M,54,Klein,369.81506,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Girl and The Robot,200,1.54345E+12,73
Kajagoogoo,Logged In,Layla,F,90,Griffin,223.55546,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Too Shy,200,1.54345E+12,24
The Jimmy Castor Bunch,Logged In,Layla,F,91,Griffin,306.54649,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Potential,200,1.54345E+12,24
Ministry,Logged In,Jacob,M,55,Klein,186.69669,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Great Satan (What Would Satan Do Mix),200,1.54345E+12,73
Bouncing Souls,Logged In,Jacob,M,56,Klein,117.31546,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Screamer,200,1.54345E+12,73
Tegan And Sara,Logged In,Layla,F,92,Griffin,129.67138,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Knife Going In (Album Version),200,1.54345E+12,24
Silverchair,Logged In,Layla,F,93,Griffin,242.96444,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,The Greatest View (Album Version),200,1.54345E+12,24
Enigma,Logged In,Layla,F,94,Griffin,242.78159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,T.N.T. For The Brain (112 Bpm) (Radio Edit),200,1.54345E+12,24
Anis,Logged In,Layla,F,95,Griffin,278.12526,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Mon MÃÂ©tro,200,1.54345E+12,24
Seal,Logged In,Layla,F,96,Griffin,254.06649,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Fly Like An Eagle,200,1.54345E+12,24
UNKLE Feat. Josh Homme,Logged In,Layla,F,97,Griffin,307.19955,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Restless,200,1.54345E+12,24
Dwight Yoakam,Logged In,Layla,F,98,Griffin,239.3073,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,You're The One,200,1.54345E+12,24
Elastica,Logged In,Layla,F,99,Griffin,141.92281,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Blue,200,1.54345E+12,24
Capone-N-Noreaga,Logged In,Layla,F,100,Griffin,194.82077,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Channel 10,200,1.54345E+12,24
Morris Day,Logged In,Layla,F,101,Griffin,442.46159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,The Oak Tree (Album Version),200,1.54345E+12,24
Foo Fighters,Logged In,Layla,F,102,Griffin,302.91546,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,What If I Do?,200,1.54345E+12,24
Olive,Logged In,Layla,F,103,Griffin,264.12363,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,You're Not Alone,200,1.54345E+12,24
Olle Adolphson,Logged In,Layla,F,104,Griffin,202.39628,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,En Glad Calypso Om VÃÂ¥ren (Live '62),200,1.54345E+12,24
Streetlight Manifesto,Logged In,Ava,F,0,Robinson,303.33342,free,"New Haven-Milford, CT",PUT,NextSong,1.54093E+12,1011,Down_ Down_ Down To Mehphisto's Cafe (Album Version),200,1.54345E+12,50
Frank Reyes,Logged In,Layla,F,105,Griffin,239.67302,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Tu Eres Ajena,200,1.54345E+12,24
Andres Calamaro,Logged In,Layla,F,106,Griffin,217.5473,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Estadio Azteca,200,1.54345E+12,24
Zero 7,Logged In,Layla,F,107,Griffin,279.562,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Sleeper,200,1.54345E+12,24
Mark Ronson featuring Tiggers,Logged In,Layla,F,108,Griffin,245.18485,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Toxic,200,1.54345E+12,24
Keith Sweat,Logged In,Layla,F,109,Griffin,295.78404,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Merry Go Round (Remastered Single Version),200,1.54345E+12,24
Wakey!Wakey!,Logged In,Layla,F,110,Griffin,145.03138,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Square Peg Round Hole,200,1.54346E+12,24
The Mercury Program,Logged In,Layla,F,111,Griffin,292.362,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Eqypt,200,1.54346E+12,24
Kid Cudi / Kanye West / Common,Logged In,Layla,F,112,Griffin,237.76608,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Make Her Say,200,1.54346E+12,24
Nekromantix,Logged In,Layla,F,113,Griffin,263.10485,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Nice Day For A Resurrection,200,1.54346E+12,24
,Logged In,Layla,F,114,Griffin,,paid,"Lake Havasu City-Kingman, AZ",GET,Home,1.54106E+12,984,,200,1.54346E+12,24
J. Karjalainen & Mustat Lasit,Logged In,Layla,F,115,Griffin,336.74404,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Sinisten tÃÂ¤htien alla,200,1.54346E+12,24
Matt Wertz,Logged In,Layla,F,116,Griffin,171.17995,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Wade Through The Night,200,1.54346E+12,24
Insane Clown Posse,Logged In,Layla,F,117,Griffin,233.82159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My Axe,200,1.54346E+12,24
Thin Lizzy,Logged In,Kaleb,M,0,Cook,214.59546,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,It's Only Money,200,1.54346E+12,54
Crystal Castles,Logged In,Kaleb,M,1,Cook,186.38322,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Untrust us,200,1.54346E+12,54
The Prodigy,Logged In,Kaleb,M,2,Cook,302.602,free,"Yuba City, CA",PUT,NextSong,1.54068E+12,951,Full Throttle,200,1.54346E+12,54
