artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
,Logged Out,,,0,,,free,,PUT,Login,,52,,307,1.54121E+12,
,Logged In,Celeste,F,1,Williams,,free,"Klamath Falls, OR",GET,Home,1.54108E+12,52,,200,1.54121E+12,53
Mynt,Logged In,Celeste,F,2,Williams,166.94812,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,52,Playa Haters,200,1.54121E+12,53
Taylor Swift,Logged In,Celeste,F,3,Williams,230.47791,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,52,You Belong With Me,200,1.54121E+12,53
Amy Winehouse,Logged In,Celeste,F,4,Williams,229.85098,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,52,Valerie,200,1.54121E+12,53
Jimmy Eat World,Logged In,Celeste,F,5,Williams,285.83138,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,52,Dizzy,200,1.54121E+12,53
,Logged Out,,,0,,,free,,GET,Home,,18,,200,1.54124E+12,
Maldita Nerea,Logged In,Anabelle,F,0,Simpson,241.162,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1.54104E+12,158,Supelicula,200,1.54125E+12,69
Fluke,Logged In,Connar,M,0,Moreno,478.92853,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1.54082E+12,168,Bermuda,200,1.54126E+12,62
Habib KoitÃÂ©,Logged In,Jayden,M,0,Fox,285.1522,free,"New Orleans-Metairie, LA",PUT,NextSong,1.54103E+12,185,Din Din Wo,200,1.54126E+12,101
The Kooks,Logged In,Sara,F,0,Johnson,132.25751,paid,"Winston-Salem, NC",PUT,NextSong,1.54081E+12,152,Eddie's Gun,200,1.54126E+12,95
Blues Traveler,Logged In,Sara,F,1,Johnson,290.24608,paid,"Winston-Salem, NC",PUT,NextSong,1.54081E+12,152,Hook,200,1.54126E+12,95
