artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Dee Dee Bridgewater,Logged In,Lily,F,38,Koch,318.64118,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,La Vie En Rose,200,1.54285E+12,15
Tim O'brien,Logged In,Lily,F,39,Koch,176.14322,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Think About Last Night,200,1.54285E+12,15
Nirvana,Logged In,Lily,F,40,Koch,215.11791,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Love Buzz,200,1.54285E+12,15
Weezer,Logged In,Lily,F,41,Koch,479.32036,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Only In Dreams,200,1.54285E+12,15
Nightwish,Logged In,Lily,F,42,Koch,286.1971,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,She Is My Sin,200,1.54285E+12,15
California Swag District,Logged In,Lily,F,43,Koch,239.17669,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Teach Me How To Dougie,200,1.54285E+12,15
Miike Snow,Logged In,Lily,F,44,Koch,385.35791,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Silvia,200,1.54285E+12,15
Katy Perry,Logged In,Lily,F,45,Koch,179.40853,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,I Kissed A Girl,200,1.54285E+12,15
Sikth,Logged In,Lily,F,46,Koch,250.53995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Peep Show,200,1.54285E+12,15
Lily Allen,Logged In,Lily,F,47,Koch,199.88853,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Not Fair,200,1.54285E+12,15
The Presidents of the United States of America,Logged In,Lily,F,48,Koch,495.77751,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Lump,200,1.54285E+12,15
Wordsworth,Logged In,Lily,F,49,Koch,253.1522,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Right Now (Produced by Ayatollah),200,1.54285E+12,15
Rihanna,Logged In,Lily,F,50,Koch,229.04118,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Take A Bow,200,1.54285E+12,15
Tomas Bodin,Logged In,Lily,F,51,Koch,396.53832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Back To The African Garden,200,1.54285E+12,15
Black Eyed Peas,Logged In,Lily,F,52,Koch,326.86975,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,My Humps,200,1.54285E+12,15
Carolina Liar,Logged In,Lily,F,53,Koch,240.45669,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Show Me What I'm Looking For (Album Version),200,1.54285E+12,15
Kansas,Logged In,Lily,F,54,Koch,202.29179,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Dust in The Wind,200,1.54285E+12,15
Onar,Logged In,Lily,F,55,Koch,306.6771,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Xehasmeni Melodia,200,1.54285E+12,15
Live,Logged In,Lily,F,56,Koch,286.98077,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Lakini's Juice,200,1.54285E+12,15
Abstract Rude,Logged In,Lily,F,57,Koch,196.85832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Nuff Fire,200,1.54285E+12,15
Johnny Horton,Logged In,Lily,F,58,Koch,131.81342,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Mean Mean Son Of A Gun,200,1.54285E+12,15
The Men They Couldn't Hang,Logged In,Lily,F,59,Koch,251.14077,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Ironmasters,200,1.54285E+12,15
Rilo Kiley,Logged In,Lily,F,60,Koch,234.03057,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,The Absence Of God (Album Version),200,1.54285E+12,15
Shwayze,Logged In,Lily,F,61,Koch,201.63873,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Lost My Mind,200,1.54285E+12,15
Bram Vermeulen,Logged In,Lily,F,62,Koch,251.42812,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Mamma,200,1.54285E+12,15
Death Cab for Cutie,Logged In,Lily,F,63,Koch,189.3873,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,I Will Follow You into the Dark (Album Version),200,1.54285E+12,15
Dwight Yoakam,Logged In,Lily,F,64,Koch,239.3073,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,You're The One,200,1.54285E+12,15
Jadakiss / Ghostface Killah / Raekwon,Logged In,Lily,F,65,Koch,173.76608,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Cartel Gathering,200,1.54285E+12,15
Rosana,Logged In,Lily,F,66,Koch,256.31302,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Si tu no estas,200,1.54285E+12,15
,Logged In,Kaylee,F,0,Summers,,free,"Phoenix-Mesa-Scottsdale, AZ",GET,Home,1.54034E+12,775,,200,1.54285E+12,8
,Logged In,Kaylee,F,1,Summers,,free,"Phoenix-Mesa-Scottsdale, AZ",GET,Upgrade,1.54034E+12,775,,200,1.54285E+12,8
,Logged In,Kaylee,F,2,Summers,,free,"Phoenix-Mesa-Scottsdale, AZ",GET,Home,1.54034E+12,775,,200,1.54285E+12,8
The Killers,Logged In,Lily,F,67,Koch,230.39955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,The Ballad of Michael Valentine,200,1.54285E+12,15
Alliance Ethnik,Logged In,Lily,F,68,Koch,195.94404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,SinceritÃÂ© Et Jalousie,200,1.54285E+12,15
Enya,Logged In,Lily,F,69,Koch,289.802,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,China Roses,200,1.54285E+12,15
Aya RL,Logged In,Lily,F,70,Koch,225.43628,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1.54105E+12,818,Jazz,200,1.54285E+12,15
,Logged In,Lily,F,71,Koch,,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,Logout,1.54105E+12,818,,307,1.54285E+12,15
,Logged Out,,,72,,,paid,,GET,Home,,818,,200,1.54285E+12,
,Logged Out,,,73,,,paid,,GET,About,,818,,200,1.54285E+12,
Clor,Logged In,Ryan,M,0,Smith,227.68281,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,820,Love + Pain,200,1.54286E+12,26
Alejandro Fernandez,Logged In,Ryan,M,1,Smith,262.84363,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,820,Solitario Y Solo,200,1.54286E+12,26
Yonder Mountain String Band,Logged In,Ryan,M,2,Smith,152.18893,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,820,Midwest Gospel Radio,200,1.54286E+12,26
K'Naan,Logged In,Ava,F,0,Robinson,220.49914,free,"New Haven-Milford, CT",PUT,NextSong,1.54093E+12,824,Wavin'  Flag,200,1.54287E+12,50
Cradle Of Filth,Logged In,Kate,F,0,Harrell,453.09342,paid,"Lansing-East Lansing, MI",PUT,NextSong,1.54047E+12,828,Her Ghost In The Fog,200,1.54288E+12,97
Amanda Marshall,Logged In,Kate,F,1,Harrell,274.28526,paid,"Lansing-East Lansing, MI",PUT,NextSong,1.54047E+12,828,Let It Rain,200,1.54288E+12,97
Rammstein,Logged In,Kate,F,2,Harrell,272.40444,paid,"Lansing-East Lansing, MI",PUT,NextSong,1.54047E+12,828,Sonne,200,1.54288E+12,97
Cat Stevens,Logged In,Kate,F,3,Harrell,167.6273,paid,"Lansing-East Lansing, MI",PUT,NextSong,1.54047E+12,828,If You Want To Sing Out_ Sing Out,200,1.54288E+12,97
Emma Shapplin,Logged In,Kate,F,4,Harrell,267.62404,paid,"Lansing-East Lansing, MI",PUT,NextSong,1.54047E+12,828,Spente Le Stelle,200,1.54289E+12,97
