artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
,Logged In,Celeste,F,0,Williams,,free,"Klamath Falls, OR",GET,Home,1.54108E+12,438,,200,1.54199E+12,53
Pavement,Logged In,Sylvie,F,0,Cruz,99.16036,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1.54027E+12,345,Mercy:The Laundromat,200,1.54199E+12,10
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Logged In,Celeste,F,1,Williams,277.15873,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,438,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),200,1.54199E+12,53
Gary Allan,Logged In,Celeste,F,2,Williams,211.22567,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,438,Nothing On But The Radio,200,1.54199E+12,53
,Logged In,Jacqueline,F,0,Lynch,,paid,"Atlanta-Sandy Springs-Roswell, GA",GET,Home,1.54022E+12,389,,200,1.54199E+12,29
Charttraxx Karaoke,Logged In,Celeste,F,3,Williams,225.17506,free,"Klamath Falls, OR",PUT,NextSong,1.54108E+12,438,Fireflies,200,1.54199E+12,53
The Libertines,Logged In,Jacqueline,F,1,Lynch,179.53914,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,The Good Old Days,200,1.54199E+12,29
Huey Lewis And The News,Logged In,Jacqueline,F,2,Lynch,245.52444,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,Hip To Be Square,200,1.54199E+12,29
JOSEF LOCKE & ORCHESTRA,Logged In,Jacqueline,F,3,Lynch,166.26893,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,How Can You Buy Killarney (1992 Digital Remaster),200,1.54199E+12,29
Train,Logged In,Jacqueline,F,4,Lynch,216.76363,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,Hey_ Soul Sister,200,1.54199E+12,29
Blind Pilot,Logged In,Jacqueline,F,5,Lynch,156.94322,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,I Buried a Bone,200,1.54199E+12,29
Anjulie,Logged In,Jacqueline,F,6,Lynch,194.63791,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54022E+12,389,Boom,200,1.54199E+12,29
59 Times the Pain,Logged In,Jordan,F,0,Rodriguez,144.95302,free,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1.54099E+12,136,Found Home,200,1.54199E+12,68
,Logged In,Kimber,F,0,Norris,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1.54098E+12,412,,200,1.542E+12,47
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,About,1.54062E+12,466,,200,1.542E+12,32
,Logged In,Lily,F,1,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1.54062E+12,466,,200,1.542E+12,32
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1.54094E+12,470,,200,1.542E+12,49
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1.54102E+12,483,,200,1.542E+12,26
