artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
The Killers,Logged In,Jayden,M,32,Graves,246.80444,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Read My Mind,200,1.54267E+12,25
Tamia,Logged In,Jayden,M,33,Graves,243.09506,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Officially Missing You (Radio Version),200,1.54267E+12,25
Randy Crawford,Logged In,Jayden,M,34,Graves,270.75873,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Almaz,200,1.54267E+12,25
Frumpies,Logged In,Jayden,M,35,Graves,134.47791,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Hello Kitty,200,1.54267E+12,25
Julia Fordham,Logged In,Jayden,M,36,Graves,279.50975,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Girlfriend,200,1.54267E+12,25
The Black Keys,Logged In,Jayden,M,37,Graves,239.59465,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Unknown Brother,200,1.54267E+12,25
Georgia Satellites,Logged In,Jayden,M,38,Graves,178.88608,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Battleship Chains (LP Version),200,1.54267E+12,25
,Logged In,Jayden,M,39,Graves,,paid,"Marinette, WI-MI",GET,Home,1.54066E+12,594,,200,1.54267E+12,25
M.I.A.,Logged In,Jayden,M,40,Graves,206.13179,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Paper Planes,200,1.54267E+12,25
Phish,Logged In,Jayden,M,41,Graves,319.29424,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Prince Caspian,200,1.54267E+12,25
Dislocation Dance,Logged In,Maia,F,0,Burke,122.87955,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1.54068E+12,628,With A Smile On Your Face And A Frown In Your Heart,200,1.54267E+12,51
The Black Keys,Logged In,Jayden,M,42,Graves,238.62812,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Strange Times,200,1.54267E+12,25
John Hiatt,Logged In,Jayden,M,43,Graves,242.442,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Have A Little Faith In Me,200,1.54267E+12,25
Elvis Costello,Logged In,Jayden,M,44,Graves,226.0371,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Watching The Detectives,200,1.54267E+12,25
Son House,Logged In,Jayden,M,45,Graves,239.38567,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Death Letter Blues (Live),200,1.54267E+12,25
Cyndi Lauper,Logged In,Jayden,M,46,Graves,231.81016,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,She Bop,200,1.54268E+12,25
ÃÂtienne Daho,Logged In,Jayden,M,47,Graves,231.3922,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Paris Ailleurs (Live 1992),200,1.54268E+12,25
Dragonforce,Logged In,Jayden,M,48,Graves,345.5473,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Cry of the Brave,200,1.54268E+12,25
Rise Against,Logged In,Jayden,M,49,Graves,242.25914,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Savior,200,1.54268E+12,25
Emmy The Great,Logged In,Noah,M,0,Chavez,204.79955,free,"Ogden-Clearfield, UT",PUT,NextSong,1.54097E+12,530,Mia,200,1.54268E+12,94
,Logged In,Noah,M,1,Chavez,,free,"Ogden-Clearfield, UT",PUT,Logout,1.54097E+12,530,,307,1.54268E+12,94
,Logged Out,,,2,,,free,,GET,Home,,530,,200,1.54268E+12,
Kings Of Leon,Logged In,Jayden,M,50,Graves,231.81016,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Use Somebody,200,1.54268E+12,25
Avenged Sevenfold,Logged In,Jayden,M,51,Graves,283.76771,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Unholy Confessions,200,1.54268E+12,25
A.B. Quintanilla III Y Los Kumbia Kings,Logged In,Jayden,M,52,Graves,196.77995,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Te Quiero A Ti,200,1.54268E+12,25
Coldplay,Logged In,Jayden,M,53,Graves,228.62322,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Only Superstition,200,1.54268E+12,25
B.o.B,Logged In,Jayden,M,54,Graves,269.63546,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Nothin' On You [feat. Bruno Mars] (Album Version),200,1.54268E+12,25
Crystal Castles,Logged In,Jayden,M,55,Graves,252.89098,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Baptism,200,1.54268E+12,25
Justin Nozuka,Logged In,Jayden,M,56,Graves,213.62893,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Mr Therapy Man,200,1.54268E+12,25
Blackmore's Night,Logged In,Jayden,M,57,Graves,201.40363,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Sister Gypsy,200,1.54268E+12,25
,Logged In,Kinsley,F,0,Young,,paid,"Red Bluff, CA",GET,Home,1.54047E+12,658,,200,1.54268E+12,85
Beirut,Logged In,Kinsley,F,1,Young,239.0722,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Fountains And Tramways,200,1.54268E+12,85
Beck,Logged In,Jayden,M,58,Graves,304.50893,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,End Of The Day,200,1.54268E+12,25
,Logged In,Jayden,M,59,Graves,,paid,"Marinette, WI-MI",PUT,Logout,1.54066E+12,594,,307,1.54268E+12,25
,Logged Out,,,60,,,paid,,GET,Home,,594,,200,1.54268E+12,
,Logged Out,,,61,,,paid,,PUT,Login,,594,,307,1.54268E+12,
,Logged In,Jayden,M,62,Graves,,paid,"Marinette, WI-MI",GET,Home,1.54066E+12,594,,200,1.54268E+12,25
Arctic Monkeys,Logged In,Kinsley,F,2,Young,177.84118,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Fake Tales Of San Francisco (Explicit),200,1.54268E+12,85
Van Halen,Logged In,Lily,F,0,Burns,227.44771,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1.54062E+12,727,Ain't Talkin'  'Bout Love (Remastered Version),200,1.54268E+12,32
,Logged In,Lily,F,1,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Settings,1.54062E+12,727,,200,1.54268E+12,32
,Logged In,Lily,F,2,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Help,1.54062E+12,727,,200,1.54268E+12,32
Secret Garden,Logged In,Jayden,M,63,Graves,180.21832,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Atlantia,200,1.54268E+12,25
Snow Patrol,Logged In,Kinsley,F,3,Young,274.49424,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Chasing Cars,200,1.54268E+12,85
Rihanna,Logged In,Lily,F,3,Burns,239.75138,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1.54062E+12,727,G4L,200,1.54268E+12,32
Bayside,Logged In,Jayden,M,64,Graves,180.27057,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Duality (Album Version),200,1.54268E+12,25
Todd Barry,Logged In,Kinsley,F,4,Young,126.82404,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Sugar Ray (LP Version),200,1.54268E+12,85
Bayside,Logged In,Jayden,M,65,Graves,243.64363,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Montauk,200,1.54268E+12,25
Viki Mosholiou,Logged In,Kinsley,F,5,Young,169.84771,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Milo Gia Ta Pedia Mou (2006 Digital Remaster),200,1.54268E+12,85
Hatebreed,Logged In,Kinsley,F,6,Young,124.42077,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Worlds Apart (Album Version),200,1.54268E+12,85
Sonny Boy Williamson,Logged In,Jayden,M,66,Graves,152.24118,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Don't Start Me Talkin',200,1.54268E+12,25
Shattered Realm,Logged In,Kinsley,F,7,Young,108.45995,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Devil In Disguise,200,1.54268E+12,85
Timbaland / Katy Perry,Logged In,Jayden,M,67,Graves,238.70649,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,If We Ever Meet Again,200,1.54268E+12,25
Sam and Dave,Logged In,Kinsley,F,8,Young,157.28281,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Hold on I'm Coming,200,1.54268E+12,85
Sea Wolf,Logged In,Kinsley,F,9,Young,225.802,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Black Dirt (Album),200,1.54268E+12,85
Apocalyptica featuring Corey Taylor,Logged In,Jayden,M,68,Graves,214.12526,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,I'm Not Jesus,200,1.54268E+12,25
Bomfunk MC's,Logged In,Kinsley,F,10,Young,225.4624,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Rocking_ Just To Make Ya Move,200,1.54268E+12,85
Jets To Brazil,Logged In,Jayden,M,69,Graves,571.03628,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Rocket Boy,200,1.54268E+12,25
,Logged In,Jayden,M,70,Graves,,paid,"Marinette, WI-MI",PUT,Logout,1.54066E+12,594,,307,1.54268E+12,25
,Logged Out,,,71,,,paid,,GET,Home,,594,,200,1.54268E+12,
,Logged Out,,,72,,,paid,,PUT,Login,,594,,307,1.54268E+12,
,Logged In,Jayden,M,73,Graves,,paid,"Marinette, WI-MI",GET,Home,1.54066E+12,594,,200,1.54268E+12,25
Tavares,Logged In,Kinsley,F,11,Young,394.00444,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Heaven Must Be Missing An Angel,200,1.54268E+12,85
Maria BethÃÂ¢nia,Logged In,Jayden,M,74,Graves,254.06649,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Samba De Roda/Marinheiro SÃÂ³ (Medley) (Live),200,1.54268E+12,25
Justin Bieber,Logged In,Kinsley,F,12,Young,220.89098,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Somebody To Love,200,1.54268E+12,85
Van Halen,Logged In,Kinsley,F,13,Young,272.32608,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Feels So Good (Remastered Single Version),200,1.54268E+12,85
Julieta Venegas A Dueto Con Dante,Logged In,Jayden,M,75,Graves,236.9824,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Primer Dia,200,1.54268E+12,25
Apocalyptica,Logged In,Jayden,M,76,Graves,409.86077,paid,"Marinette, WI-MI",PUT,NextSong,1.54066E+12,594,Coma,200,1.54268E+12,25
The Wreckers,Logged In,Kinsley,F,14,Young,171.36281,paid,"Red Bluff, CA",PUT,NextSong,1.54047E+12,658,Stand Still_ Look Pretty [Live],200,1.54268E+12,85
