artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
The Future Sound of London,Logged In,Ryan,M,0,Smith,405.28934,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,873,Papua New Guinea,200,1.54302E+12,26
Harmonia,Logged In,Ryan,M,1,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,873,Sehr kosmisch,200,1.54302E+12,26
,Logged Out,,,0,,,free,,GET,Home,,86,,200,1.54303E+12,
,Logged Out,,,1,,,free,,GET,Home,,86,,200,1.54303E+12,
,Logged Out,,,2,,,free,,GET,Help,,86,,200,1.54303E+12,
,Logged Out,,,3,,,free,,GET,Help,,86,,200,1.54303E+12,
,Logged Out,,,4,,,free,,GET,Help,,86,,200,1.54303E+12,
,Logged Out,,,5,,,free,,PUT,Login,,86,,307,1.54303E+12,
,Logged In,Dustin,M,6,Lee,,free,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",GET,Home,1.54085E+12,86,,200,1.54303E+12,87
My Chemical Romance,Logged In,Dustin,M,7,Lee,311.11791,free,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",PUT,NextSong,1.54085E+12,86,Welcome To The Black Parade (Album Version),200,1.54303E+12,87
Disturbing Tha Peace / Ludacris / Mystikal / I-20,Logged In,Mohammad,M,0,Rodriguez,276.4273,paid,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1.54051E+12,888,Move Bitch,200,1.54303E+12,88
Carlos PaiÃÂ£o,Logged In,Mohammad,M,1,Rodriguez,185.99138,paid,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1.54051E+12,888,Playback,200,1.54303E+12,88
,Logged In,Mohammad,M,2,Rodriguez,,paid,"Sacramento--Roseville--Arden-Arcade, CA",PUT,Logout,1.54051E+12,888,,307,1.54303E+12,88
,Logged Out,,,3,,,paid,,GET,Home,,888,,200,1.54303E+12,
,Logged Out,,,4,,,paid,,PUT,Login,,888,,307,1.54303E+12,
,Logged In,Mohammad,M,5,Rodriguez,,paid,"Sacramento--Roseville--Arden-Arcade, CA",GET,Home,1.54051E+12,888,,200,1.54303E+12,88
Snowgoons,Logged In,Mohammad,M,6,Rodriguez,239.28118,paid,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1.54051E+12,888,Show Love,200,1.54303E+12,88
Steve Miller,Logged In,Mohammad,M,7,Rodriguez,325.22404,paid,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1.54051E+12,888,Born To Be Blue,200,1.54303E+12,88
